Frequency (Hz),RCS (m²)
10000000.0,8.500545073315203e-16
90140280.56112224,5.611969713339482e-12
170280561.12224448,7.146305559826336e-11
250420841.68336672,3.342515609598879e-10
330561122.24448895,1.0147466005735914e-09
410701402.8056112,2.417702633430288e-09
490841683.36673343,4.93174036213504e-09
570981963.9278557,9.029194926498056e-09
651122244.4889779,1.5265931461694658e-08
731262525.0501001,2.4281128063584615e-08
811402805.6112224,3.679702615088657e-08
891543086.1723447,5.361864813149846e-08
971683366.7334669,7.563348216396083e-08
1051823647.294589,1.0381113365054332e-07
1131963927.8557115,1.392029429013933e-07
1212104208.4168336,1.8294156816537116e-07
1292244488.9779558,2.3624053292842098e-07
1372384769.539078,3.003937360304571e-07
1452525050.1002002,3.767749227427513e-07
1532665330.6613226,4.6683711447571756e-07
1612805611.2224448,5.721119942480017e-07
1692945891.783567,6.942092444381754e-07
1773086172.3446894,8.348158326565919e-07
1853226452.9058115,9.956952408137553e-07
1933366733.4669337,1.1786866316198735e-06
2013507014.028056,1.3857039458251885e-06
2093647294.589178,1.6187349225000178e-06
2173787575.1503005,1.879840033555086e-06
2253927855.711423,2.1711513225151988e-06
2334068136.272545,2.4948711362821475e-06
2414208416.8336673,2.8532707372553833e-06
2494348697.394789,3.2486887817228793e-06
2574488977.9559116,3.683529648891321e-06
2654629258.517034,4.16026160329749e-06
2734769539.078156,4.681414771636567e-06
2814909819.6392784,5.249578913263602e-06
2895050100.2004004,5.867400961780862e-06
2975190380.761523,6.53758231322606e-06
3055330661.322645,7.262875834437853e-06
3135470941.883767,8.046082563211908e-06
3215611222.4448895,8.890048069892366e-06
3295751503.006012,9.797658448092385e-06
3375891783.567134,1.0771835900331497e-05
3456032064.1282563,1.1815533882547872e-05
3536172344.6893787,1.2931731769726944e-05
3616312625.2505007,1.4123429003326372e-05
3696452905.811623,1.5393638679818257e-05
3776593186.372745,1.6745380538567295e-05
3856733466.9338675,1.8181673306478935e-05
3936873747.49499,1.970552635644874e-05
4017014028.056112,2.1319930636701928e-05
4097154308.617234,2.3027848828705456e-05
4177294589.178356,2.483220469255491e-05
4257434869.7394786,2.6735871560677515e-05
4337575150.300601,2.8741659943446995e-05
4417715430.861723,3.0852304213983616e-05
4497855711.422846,3.307044834411541e-05
4577995991.983968,3.5398630669314524e-05
4658136272.54509,3.783926766750352e-05
4738276553.106212,4.039463674505033e-05
4818416833.667335,4.3066858033137045e-05
4898557114.2284565,4.585787520908318e-05
4978697394.789578,4.876943537019291e-05
5058837675.350701,5.1803068002337605e-05
5138977955.911823,5.496006310179387e-05
5219118236.472945,5.8241448526836894e-05
5299258517.034068,6.1647966675178e-05
5379398797.59519,6.51800506044622e-05
5459539078.156312,6.883779973553915e-05
5539679358.717435,7.262095530190994e-05
5619819639.278557,7.652887573334756e-05
5699959919.839679,8.056051218686229e-05
5780100200.400801,8.471438446352563e-05
5860240480.961924,8.898855757467855e-05
5940380761.523046,9.338061924518493e-05
6020521042.0841675,9.78876586639956e-05
6100661322.64529,0.00010250624681267427
6180801603.206412,0.00010723241871992381
6260941883.767534,0.00011206165800375666
6341082164.328657,0.0001169888840719216
6421222444.889779,0.00012200844235471627
